date,price_usd,volume_usd
2025-07-21,117266.41581420325,208252400.2303875
2025-07-22,117402.645086908,285527662.7603771
2025-07-23,119971.26210149084,349707770.66673476
2025-07-24,118466.71277139678,209250574.19826844
2025-07-25,118245.64084245362,210375341.5736131
2025-07-26,117471.72646321479,327872396.0627784
2025-07-27,118154.38470570726,120174988.6020375
2025-07-28,119440.72684148606,122838337.1702372
2025-07-29,117853.69533721592,177337134.2618387
2025-07-30,117468.20974053365,174977972.29003823
2025-07-31,117634.00123961084,237291499.01653826
2025-08-01,115622.3109580662,179622548.50189194
2025-08-02,113251.97961270518,352785518.5612329
2025-08-03,112513.21618668617,187325186.5430789
2025-08-04,114185.28240723522,114113566.5468878
2025-08-05,114923.15293388064,162424173.27520752
2025-08-06,114106.50953340952,172297428.5012733
2025-08-07,114941.38835692451,135201335.02041826
2025-08-08,117416.2195281305,180658929.38996047
2025-08-09,116661.40349976257,148318897.04742134
2025-08-10,116476.24698483813,282556403.01012784
2025-08-11,119130.56622574548,173505796.14281496
2025-08-12,118474.8218344662,306626517.1256061
2025-08-13,120078.60441086181,200505977.1620417
2025-08-14,123399.93455649473,385858303.6793995
2025-08-15,118471.9873383171,496129903.14163655
2025-08-16,117233.60830001536,250959395.13283876
2025-08-17,117486.95141405135,123017292.09152815
2025-08-18,117506.86405797422,132924026.77866217
2025-08-19,116216.81526230698,432363513.262431
2025-08-20,112664.78115006519,268185122.24054715
2025-08-21,114212.67480701827,263573715.01365733
2025-08-22,112421.4077739514,225323327.94318646
2025-08-23,116849.67775464505,466268901.7940953
2025-08-24,115391.06756421686,155769937.97784078
2025-08-25,113669.37292256275,272597393.08278304
2025-08-26,110148.41762164613,477059003.87422085
2025-08-27,111881.9342633622,419034122.86679846
2025-08-28,111347.53622697502,301820064.39071494
2025-08-29,112394.68658768281,200583372.38278297
2025-08-30,108630.35595420765,362770191.2790767
2025-08-31,108759.47252761183,152796905.8909277
2025-09-01,108454.832264892,128741602.66489789
2025-09-02,108986.06807712278,323516121.4994464
2025-09-03,111138.27549504401,603728978.2317855
2025-09-04,111674.70504905812,283629043.77657324
2025-09-05,110727.56806595832,351625378.93899244
2025-09-06,110493.2102184865,309674710.3095442
2025-09-07,110272.67377503256,88149614.5183824
2025-09-08,111092.63731941556,84240743.17124312
2025-09-09,111917.68725963267,154703108.99935564
2025-09-10,111505.04678621466,209507238.57222372
2025-09-11,114162.28388986381,251166709.03289127
2025-09-12,115403.25814828246,196959338.32529762
2025-09-13,116150.91897680264,244363781.2585375
2025-09-14,116077.6679153634,150353270.59397295
2025-09-15,115322.18011752365,118788733.93799487
2025-09-16,115407.50144664591,225266320.15922686
2025-09-17,116715.55211865174,218380764.8533417
2025-09-18,116554.98466214584,325785973.74619573
2025-09-19,117039.12094202286,216469910.7649916
2025-09-20,115539.37162177617,150782357.71485496
2025-09-21,115663.5121501527,103270640.36660731
2025-09-22,115354.82352636383,204315608.19746876
2025-09-23,112720.19282123214,444711640.8135658
2025-09-24,111861.52330217291,271475782.04853195
2025-09-25,113492.48489737672,300810783.2691088
2025-09-26,109169.27976570243,425766741.59721684
2025-09-27,109550.77168796188,272999354.54721427
2025-09-28,109603.13268048059,136345152.05511543
2025-09-29,112185.17730141868,196446637.7479228
2025-09-30,114156.19464700541,287239455.96415156
2025-10-01,114246.23073063412,277057281.3969885
2025-10-02,118280.8992901909,301078445.42512274
2025-10-03,120710.11156886014,422983825.59680015
2025-10-04,122183.50668380847,365001829.87486356
2025-10-05,122501.43972556123,143395062.1940838
2025-10-06,123510.66687860187,326685728.93401575
2025-10-07,124798.90772413308,320035832.8476361
2025-10-08,121543.47984453352,367140223.66446996
2025-10-09,123275.31066891988,301672011.8150737
2025-10-10,121654.39150676133,488482243.38513607
2025-10-11,113248.89027512465,1243369578.6340032
2025-10-12,110834.47339817735,485036721.6503094
2025-10-13,115250.41707592715,528189794.924793
2025-10-14,115140.2690388128,463076891.756294
2025-10-15,113216.39329928631,563950986.9979591
2025-10-16,110706.95405864612,353071673.40010524
2025-10-17,108098.10546391268,560990215.0932093
2025-10-18,106603.80746773473,600735609.7462709
2025-10-18,107169.4514756987,484548230.17647165
